"","V1","match_id","year","slam","match_num","player1","player2","status","winner","event_name","round","court_name","court_id","player1id","player2id","nation1","nation2","player1_rank","player2_rank","pServeP1","pReceiveP1","pServeP2","pReceiveP2"
"53",52,"2011-ausopen-1227",2011,"ausopen",1227,"Stanislas Wawrinka","Grigor Dimitrov","Complete",1,"Men's Singles","Round 2","Show Court 2","D","atpw367","atpd875","SUI","BUL",19,108,0.7125,0.414634146341463,0.585365853658537,0.2875
"54",53,"2011-ausopen-1228",2011,"ausopen",1228,"Frederico Gil","Gael Monfils","Complete",2,"Men's Singles","Round 2","Margaret Court Arena","C","atpg717","atpmc65","POR","FRA",102,12,0.551181102362205,0.365384615384615,0.634615384615385,0.448818897637795
"55",54,"2011-ausopen-1229",2011,"ausopen",1229,"Mardy Fish","Tommy Robredo","Complete",2,"Men's Singles","Round 2","Show Court 3","E","atpf339","atpr419","USA","ESP",16,51,0.572649572649573,0.342857142857143,0.657142857142857,0.427350427350427
"56",55,"2011-ausopen-1230",2011,"ausopen",1230,"Sergiy Stakhovsky","Lukasz Kubot","Complete",1,"Men's Singles","Round 2","Court 8","J","atpsc77","atpk540","UKR","POL",50,72,0.588235294117647,0.521739130434783,0.478260869565217,0.411764705882353
"57",56,"2011-ausopen-1232",2011,"ausopen",1232,"Gilles Simon","Roger Federer","Complete",2,"Men's Singles","Round 2","Rod Laver Arena","A","atpsd32","atpf324","FRA","SUI",41,2,0.554838709677419,0.349206349206349,0.650793650793651,0.445161290322581
"58",57,"2011-ausopen-1301",2011,"ausopen",1301,"Rafael Nadal","Bernard Tomic","Complete",1,"Men's Singles","Round 3","Rod Laver Arena","A","atpn409","atpta46","ESP","AUS",1,209,0.618556701030928,0.466019417475728,0.533980582524272,0.381443298969072
"59",58,"2011-ausopen-1302",2011,"ausopen",1302,"John Isner","Marin Cilic","Complete",2,"Men's Singles","Round 3","Margaret Court Arena","C","atpi186","atpc977","USA","CRO",20,15,0.691891891891892,0.274193548387097,0.725806451612903,0.308108108108108
"60",59,"2011-ausopen-1303",2011,"ausopen",1303,"Mikhail Youzhny","Milos Raonic","Complete",2,"Men's Singles","Round 3","Show Court 3","E","atpy061","atpr975","RUS","CAN",10,153,0.606837606837607,0.31858407079646,0.68141592920354,0.393162393162393
"61",60,"2011-ausopen-1304",2011,"ausopen",1304,"Richard Berankis","David Ferrer","Complete",2,"Men's Singles","Round 3","Show Court 2","D","atpbe90","atpf401","LTU","ESP",NA,NA,0.428571428571429,0.245614035087719,0.754385964912281,0.571428571428571
"62",61,"2011-ausopen-1305",2011,"ausopen",1305,"Robin Soderling","Jan Hernych","Complete",1,"Men's Singles","Round 3","Hisense Arena","B","atpsa49","atph442","SWE","CZE",4,239,0.72,0.5,0.5,0.28
